,deltaTemp,region,frac,year,q0.01,q0.02,q0.03,q0.04,q0.05,q0.06,q0.07,q0.08,q0.09,q0.10,q0.11,q0.12,q0.13,q0.14,q0.15,q0.16,q0.17,q0.18,q0.19,q0.20,q0.21,q0.22,q0.23,q0.24,q0.25,q0.26,q0.27,q0.28,q0.29,q0.30,q0.31,q0.32,q0.33,q0.34,q0.35,q0.36,q0.37,q0.38,q0.39,q0.40,q0.41,q0.42,q0.43,q0.44,q0.45,q0.46,q0.47,q0.48,q0.49,q0.50,q0.51,q0.52,q0.53,q0.54,q0.55,q0.56,q0.57,q0.58,q0.59,q0.60,q0.61,q0.62,q0.63,q0.64,q0.65,q0.66,q0.67,q0.68,q0.69,q0.70,q0.71,q0.72,q0.73,q0.74,q0.75,q0.76,q0.77,q0.78,q0.79,q0.80,q0.81,q0.82,q0.83,q0.84,q0.85,q0.86,q0.87,q0.88,q0.89,q0.90,q0.91,q0.92,q0.93,q0.94,q0.95,q0.96,q0.97,q0.98,q0.99
469,2.7500000000000018,RGI13-14-15,0.49,2100,14.372417128972454,16.594821769605165,18.40238659624483,19.98841975678658,21.5497469579634,22.07828203194813,23.21918141732106,23.502066465930767,24.09318545072596,24.93144328565,25.22780760617429,25.900517999399305,26.35373002260625,26.96852286040197,27.332471763736265,27.68682959186512,28.457832825018173,29.33223004325474,29.91527381095689,30.417704687968552,30.65235324351675,31.09009850922713,31.26878511008088,31.549225514557087,31.70256477826681,31.90597793753403,32.35252099552827,32.462691135499234,32.61202221760804,32.90056698773805,32.99676121043837,33.10257159661042,33.25537992216628,33.38725650332429,33.55982678864484,33.57670642346853,33.671353822430255,33.77096541399956,33.82108663810299,33.91494924603294,33.90269495123999,33.93116880018422,33.94681737527248,34.059581716909385,34.16307269495554,34.2557113216105,34.27941956490539,34.37161828011659,34.556959514913615,34.81806624526997,35.008441977650364,35.15625914163902,35.22221575583931,35.218503093769385,35.294508603463754,35.345584641097,35.44829145442743,35.68004683240621,35.906742920506446,36.001080248205,36.24634662226789,36.369622668031305,36.52114349294874,36.59826915723381,36.722435641922026,37.00088264262448,37.18976572180026,37.39679388396751,37.60909615395979,37.72243447949616,37.83837909145334,37.94946782929615,38.142398716338725,38.23678320522112,38.32250956135188,38.431276839790826,38.5934134611786,38.79493008908961,39.17816060433939,39.19543888150323,39.36603118624853,39.51611445498754,39.896890357892566,40.040621363134655,40.44651771837533,40.72253618169629,40.86530906255253,41.30150234943011,42.14073468443948,42.77110653579886,43.04239273338467,43.38566606971772,43.70359492986629,43.65968666145093,44.50098774580796,44.64112337970998,45.79792378038779,46.38847156806792,50.33695341998767
470,2.8000000000000016,RGI13-14-15,0.49,2100,13.566889610484584,15.723377500917088,17.598807582449673,19.233536171495977,20.80403769011885,21.33719056050576,22.444757582193976,22.71852948886148,23.319287484996384,24.150626354686167,24.45855476106496,25.136983919520176,25.60122380418223,26.25938424620895,26.649044623190058,27.00848105413481,27.78117959996874,28.63318632158708,29.18936750504906,29.67610690592881,29.91396213526069,30.33280033578005,30.52223604254274,30.796823158584857,30.961745753688543,31.173851216492245,31.61768275564675,31.749421155228,31.880063485573626,32.16673914683473,32.25715607237365,32.36175795365937,32.51116260271283,32.643770157965115,32.8064222034669,32.8244952312683,32.91946833266185,33.01148613355664,33.06496336287844,33.1634908563901,33.14573114894874,33.16397677714623,33.18034683019434,33.289756778247124,33.40141216130188,33.49140665419993,33.52675333820023,33.63087468248311,33.81327456894315,34.079474111223234,34.273863267728096,34.40568493542846,34.48318229373963,34.47680559030014,34.551354983711455,34.617639975881204,34.72909442323988,34.98180867442022,35.22164344629952,35.32927843504444,35.57408491914479,35.70774950046936,35.86516175350963,35.93251541803441,36.05862635079212,36.33842118015752,36.51567733775402,36.71690669188512,36.931852979298775,37.03718394940527,37.15039857627428,37.2598162456588,37.457989630403546,37.55361518418802,37.633946984475465,37.73835064007652,37.91063351467094,38.11709416302112,38.49078304780864,38.50920357546573,38.681859958961866,38.83737600185645,39.21557772969352,39.35876036401048,39.777800664204,40.06388202804568,40.21639431834243,40.677048496750295,41.49874681751167,42.15558522483941,42.438932770603074,42.77239683836344,43.10352389317454,43.08422318942011,43.909648220399625,44.05597813702081,45.17748478103357,45.72788788712653,49.52660961159438
471,2.850000000000002,RGI13-14-15,0.49,2100,12.826675496902222,14.91303911045446,16.854401237659165,18.53714584481672,20.11293026426808,20.65053135851486,21.71808185184845,21.983880104184312,22.592596016755696,23.414042431190687,23.736977842994,24.41745644061333,24.8930169591092,25.592841647828266,26.009958135714182,26.37465981815524,27.146816118117243,27.97093833102468,28.4999742361045,28.9716167263156,29.21539510635633,29.612144178320715,29.810967085043604,30.079102077219808,30.253695454947856,30.47401335303784,30.91203444024801,31.065713860036123,31.178112062593915,31.46163048142597,31.54649370623565,31.650404013405904,31.794616673639467,31.928934494979327,32.08033299887146,32.102005085277725,32.197736592554094,32.282517622238935,32.340125029780204,32.44440988624561,32.42296303960459,32.43224248956548,32.45161976231518,32.55735018648012,32.6772004071322,32.7651704012096,32.81331991929877,32.930765101783024,33.109862529298404,33.37858867959103,33.577245460703715,33.6913988379605,33.780952491342845,33.77430685201646,33.85021530899486,33.932049983239885,34.05471413449935,34.32839541472263,34.581578469926285,34.70330620830568,34.94753141778711,35.09163498042038,35.25587376582834,35.31389099480163,35.441650956324175,35.72269068712979,35.88790483532581,36.08209822531824,36.29968955879677,36.3983561454754,36.50902912318494,36.61788930969867,36.821626735212966,36.91838607292964,36.99448990810784,37.09540617043496,37.27855741940942,37.49034423682968,37.85292810711376,37.874371564451565,38.04994494431645,38.210846050000825,38.58566634013167,38.73096918311324,39.162234959647286,39.45841035622855,39.62015577027656,40.103318183892576,40.90159911578396,41.579952722151766,41.87598058817919,42.20154615635614,42.5443750665647,42.554288193825535,43.36029059907318,43.51867415313616,44.600107857295626,45.11070193765924,48.74509869712918
472,2.9000000000000017,RGI13-14-15,0.49,2100,12.15617595620933,14.169872534776497,16.172318249909587,17.90194824713535,19.478874366675434,20.021104044812287,21.0415794501845,21.300696364132047,21.91600638052844,22.72505736308404,23.06664522506133,23.745373455460683,24.231635373972868,24.969827768971715,25.41682212759381,25.78694359095669,26.5560735161706,27.34701741567956,27.848508276690367,28.306267985863844,28.559078707211764,28.93045559553493,29.13731994567652,29.398506248926708,29.580698782003527,29.80810928127193,30.23737735815616,30.41336582247394,30.50791705078631,30.78684605503627,30.866513756343505,30.97013856671718,31.10733642678702,31.24384047405185,31.38285694330672,31.41022361318532,31.50756327063549,31.585291176545645,31.64761409548749,31.758890651777016,31.735944759857045,31.7375524283722,31.7625048089068,31.86456820001182,31.99265444664117,32.07922337465734,32.14162754821178,32.27363298775256,32.449165706517896,32.71762086470203,32.920554226741274,33.015519907101336,33.117672185715946,33.11314395446761,33.19360087502966,33.29091543922084,33.427155840651125,33.72152355176178,33.988276512057546,34.124931207984865,34.36847810603802,34.52270138568288,34.69482021612155,34.74401248976916,34.87298568133594,35.15542166552437,35.30866156016808,35.49480643602828,35.71478693505759,35.80830605300182,35.91671607040148,36.02626518624799,36.23599612400371,36.3335169063948,36.40677748135623,36.50502466946846,36.699504386088286,36.91712683100919,37.26730000111724,37.29338270205911,37.47298835121564,37.63913159242928,38.00981276787029,38.16041460178401,38.602997425706334,38.908851893229965,39.07920795692447,39.58213096277967,40.35090913768231,41.04606513305888,41.35471336482876,41.6748591436311,42.02754141539686,42.0710383057808,42.85416045396067,43.03074947389986,44.068417654342895,44.54032873116436,47.99499703088656
473,2.950000000000001,RGI13-14-15,0.49,2100,11.558738227920362,13.50008527735112,15.555796579266552,17.3297072295298,18.90364425565416,19.451635031669955,20.417706990181,20.67150964491624,21.292245921655407,22.086764125903173,22.45069407758056,23.12414011255443,23.619744743798293,24.39147917882646,24.87091575629725,25.246833121335623,26.010202300853564,26.763150726977404,27.23666156244764,27.682085527476595,27.947055006619188,28.289837835160704,28.50354236003997,28.7570293486253,28.94481166710177,29.17758883070041,29.59511853880061,29.79390658233921,29.871041451275584,30.14378842095065,30.21876226359836,30.3224237925151,30.45100018878372,30.58969616127025,30.71552824422815,30.750402229878016,30.85052317288136,30.92131761572461,30.98865121926473,31.108032392009225,31.08608270908068,31.0814948876232,31.11450517463527,31.212836798486403,31.349389929729327,31.43504396268296,31.513738268904167,31.661465354985555,31.83330497465086,32.09850619254411,32.30550394694652,32.380091750458014,32.49546421616649,32.49520701886927,32.583424069783064,32.6961194543645,32.84803053684541,33.16275241165012,33.44313661647052,33.5956348860566,33.83848235228148,34.00220196061273,34.18312153880071,34.224185905218675,34.35379673302476,34.63809387017123,34.77963732030146,34.9572316368873,35.17920387353245,35.26916765030042,35.37567883591566,35.48728237043909,35.70335821819683,35.80096064489054,35.87305871370455,35.96931856803482,36.17537552160932,36.39948564927077,36.73624359261763,36.76823998757455,36.953130713452445,37.12435533179995,37.490363793046114,37.64965521323518,38.10264001400214,38.41722614484285,38.59542172880551,39.11504726928988,39.84812032297495,40.55571669220036,40.87612655070713,41.19362749175087,41.55395357872864,41.634599439082464,42.39214099057757,42.59267217117407,43.58435188932237,44.01951615903494,47.278781740377525
474,3.0000000000000018,RGI13-14-15,0.49,2100,11.036332510421984,12.909348592543072,15.00758058041592,16.82092286747773,18.38805478595881,18.94401357461693,19.848433137128826,20.09821306210823,20.72339770014286,21.501778681197965,21.89133336425865,22.55642379428742,23.059645614842328,23.858741821413165,24.3727359810436,24.75546115585608,25.509881173053348,26.220572648153286,26.66601815967656,27.100791573451325,27.3807642824022,27.692029532887204,27.911383182043696,28.156172154093763,28.34759459610783,28.58335009617344,28.986235142387184,29.20828246117918,29.268414403874168,29.53337716736004,29.604390684913227,29.70832909565512,29.827055330683827,29.96750447599936,30.079803534425185,30.1237827078846,30.228006358830967,30.292046170086923,30.364429716812865,30.49271604447764,30.474284335932392,30.465478233506506,30.50882579894501,30.60326972414512,30.748472125070386,30.83346519537978,30.930659175928724,31.09530059311492,31.26347679638682,31.52256707254152,31.733197029701024,31.786890076348133,31.91604703621584,31.921954774503018,32.02084348961549,32.149021807625,32.31839849343115,32.65309801420245,32.947048055452385,33.116211370083164,33.358503570291184,33.530764855884975,33.72122651077708,33.755189673869936,33.88485214954829,34.17162635915383,34.301696802780526,34.47116852161221,34.69429907060213,34.782207846391564,34.887463335176015,35.00263587003695,35.225255170042246,35.32170503530275,35.39455577551345,35.489524927209104,35.707437395766995,35.93861810602162,36.26139576770299,36.30036702475568,36.49176219384882,36.66774931383564,37.0290456233881,37.20012599785871,37.662612978344,37.98460421927215,38.16990409248996,38.70283710305039,39.39409289707813,40.1100626570307,40.44051917129671,40.75813945930872,41.12372841804888,41.243964614348535,41.974315514826856,42.20381488998897,43.14867320231455,43.54973880615521,46.598899719440645
475,3.050000000000002,RGI13-14-15,0.49,2100,10.588800963859647,12.40185404430734,14.529174833428664,16.374043581025745,17.931279603190703,18.498443469146533,19.33437365033677,19.58152219695296,20.210193162459586,20.971519570510715,21.389372180729307,22.0437810180684,22.55258858933341,23.371650365380017,23.92163287396972,24.31289615611363,25.054594514583226,25.719456780199884,26.13738049891714,26.563284421401484,26.860733703635727,27.137962200751737,27.361702226473405,27.596532131576243,27.789643432901592,28.0255928312958,28.41104965753693,28.65643130980361,28.6999582411036,28.955570659621976,29.02374757357206,29.128148164153107,29.236346988237536,29.377642051513867,29.476669145391345,29.53113272073276,29.640779427159536,29.698371256137985,29.775581093722074,29.91315506279567,29.900819874015543,29.89035256161657,29.94600436039785,30.036408146838426,30.190071550668875,30.2747396413414,30.39232755770407,30.57509100379351,30.739542113532814,30.989704456228434,31.203420774781176,31.23674833936375,31.38016341870877,31.393951509220017,31.50603871619837,31.65008890904904,31.83836740928608,32.19246215789752,32.49989886322138,32.68626363699213,32.92844688252513,33.10801329043497,33.30855662881494,33.336689777055994,33.465947031019745,33.755942205496794,33.87459260846264,34.037276110486935,34.260395358983,34.34740142415498,34.45232372951119,34.57283022737183,34.801820041169194,34.8956395369579,34.971151673860945,35.06536365815178,35.295677580118685,35.53453063143748,35.843145277541986,35.889998114403944,36.08897071237183,36.26936497926978,36.62627584336337,36.81201786996158,37.28280939080232,37.61029704145863,37.802319724062215,38.344705018796816,38.98857502238391,39.70900953789787,40.0469082856228,40.36736556333707,40.73560643038324,40.89682192742696,41.598964907757846,41.86186829388964,42.760134122333206,43.1311305868376,45.957642998454325
476,3.100000000000002,RGI13-14-15,0.49,2100,10.213247362637803,11.979318596833542,14.11970367433713,15.984759745180764,17.52990974842621,18.11254537901045,18.87401874766838,19.120024426714064,19.751201111966505,20.495260251762428,20.94358396924619,21.58586435215711,22.0981206307653,22.92879613806613,23.51522301564365,23.91728998625244,24.641941198617587,25.25824599608164,25.65011287930019,26.068922733166097,26.385818701564865,26.627201216773148,26.85405407169457,27.07741846423913,27.270005563419176,27.503329359944026,27.86854155479347,28.13699924064005,28.164411837546627,28.409226625833536,28.47609298217161,28.58097786090089,28.678602941403383,28.819545744695308,28.90614888217867,28.972165408786967,29.08848397499533,29.140115462764243,29.22177665937013,29.3684917825516,29.36481285090701,29.35586046359717,29.42534552878805,29.51179775033544,29.67317609076294,29.75797071207236,29.89737690279942,30.09916114326158,30.25998781526248,30.49835614952348,30.7144381392342,30.72879931683588,30.886800525253424,30.91008033578845,31.037660532264155,31.198184069247453,31.40648219218524,31.7790744985384,32.099922776879566,32.30371257975529,32.54653644284054,32.7319344186114,32.942829009586355,32.966709861896945,33.095295403517895,33.38919092102481,33.49651329819699,33.65445137587798,33.87610979187863,33.96303018836244,34.06897730774771,34.196514708295,34.431146981708224,34.52093948574826,34.600947890852936,34.69480662013018,34.9380466587176,35.185100775549046,35.47993404084049,35.53552517793141,35.74281349443754,35.92734321047799,36.280529870052206,36.48338069488662,36.96087887242833,37.29147588742778,37.48991480319048,38.037808543857125,38.629556662143656,39.35051633416575,39.69235748243892,40.01836267744806,40.3863318465534,40.5886579182533,41.2623281221492,41.562274793157926,42.41555140300719,42.761665313922606,45.35680186554303
477,3.1500000000000017,RGI13-14-15,0.49,2100,9.902919282961864,11.639643901097726,13.77488501850265,15.64524508466144,17.17722941070477,17.780356863728787,18.462901508727928,18.70934352457592,19.34192539355317,20.06914338160932,20.549777810270083,21.17970724605323,21.69324534872636,22.52663547810724,23.14873024115088,23.56418713695691,24.26713740922665,24.833013789036272,25.201329163066703,25.61489263982613,25.95269819553915,26.157314892159683,26.386030798122043,26.5962561238317,26.785907787332164,27.013698403182826,27.35566182206413,27.646794563727067,27.658959834511904,27.89174155480996,27.959158903862026,28.064423632066955,28.15200101401696,28.29115707890832,28.36681416205674,28.44521496693834,28.569040987287988,28.61543761504268,28.701178940208084,28.85641203062308,28.863878719587568,28.860037416026493,28.944326897134047,29.02738133645115,29.194991646979016,29.28060204219734,29.44268496346435,29.663795699373235,29.821220305646555,30.045152151280544,30.262694658398942,30.260409035103947,30.4329576407059,30.467070635152165,30.612062620881176,30.78968977395179,31.018840082541963,31.40877699233917,31.742957243257816,31.964057429970005,32.20849597049851,32.3981028772418,32.61911408834486,32.64092498370813,32.768781656869415,33.067226842912504,33.16338923453984,33.3191640563517,33.53762188134026,33.625105384643824,33.73386188285514,33.86980341084733,34.108726278927705,34.193193927019465,34.27943480865891,34.37334662137724,34.629956024273724,34.88566345717866,35.16750015161321,35.23280553516071,35.44877037795416,35.637230436747835,35.987488590411914,36.20950188492255,36.69146851532466,37.02237506315191,37.227116008436205,37.77634750520424,38.312505693762105,39.02974886153919,39.37147176578938,39.7056579845269,40.0702820685672,40.312083429915326,40.95845278406677,41.2975789265002,42.10947364195411,42.436719932235896,44.79744944322992
478,3.200000000000002,RGI13-14-15,0.49,2100,9.647167865062109,11.375079577617123,13.486045431072032,15.343539906941691,16.862406972384505,17.491411343553985,18.093012001092337,18.341305526854946,18.974214639403435,19.68546396945761,20.1998287406548,20.818757833140708,21.331678619252305,22.158699379967526,22.814136650937662,23.245853166173955,23.922290988503192,24.436953613082103,24.785412421241528,25.195499947180544,25.555215210491937,25.723285244341582,25.95267787115797,26.148001346033656,26.332245188516104,26.551749239295,26.86757988321349,27.180064346744288,27.178683081932224,27.398530535254743,27.468695672998745,27.574290417689262,27.6527918364915,27.78859721285882,27.855326485114546,27.94678000868743,28.078290975099627,28.120439735067208,28.20990103015972,28.37259598263266,28.39367318079011,28.398622631817165,28.498115792161887,28.57886567448871,28.75052179315191,28.83775502699896,29.02278925593146,29.262734847865964,29.417186135801497,29.6245010312406,29.842418474117263,29.82662768860565,30.01327193059565,30.05922402268835,30.22308915794019,30.418225797934383,30.66831282113998,31.07414893527991,31.421661128707807,31.65971996168043,31.90697523357985,32.09907884805006,32.32938841634196,32.3520168697741,32.479330921467586,32.783005254620846,32.86824626295883,33.02483054636802,33.238030775127044,33.32666601723153,33.44031663131612,33.58570512791097,33.826963214616065,33.9049622448028,33.99891615638183,34.093407830442345,34.36363110171793,34.62851352549923,34.898524295745084,34.97448286277255,35.19900390299296,35.39144515400957,35.73943569424787,35.98207246036686,36.46551287993746,36.79365755600154,37.00483346942276,37.55112996544053,38.02970025906317,38.73857758772841,39.07610550808195,39.420730418900646,39.77907983742571,40.056908785482506,40.67866893084172,41.05702616782565,41.83362201662449,42.14876551462231,44.27960798044421
